,plotID,errorLocation,errorType,errorMsg
65,MANANG_S5_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S5_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
66,MANANG_S5_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S5_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
67,MANANG_S4_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S4_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
68,MANANG_S4_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S4_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
69,MANANG_S8.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
70,MANANG_S8.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
71,MANANG_S8.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
72,MANANG_S8.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
73,MANANG_S10.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S10.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
74,MANANG_S10.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S10.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
75,MANANG_S7_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S7_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
76,MANANG_S7_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S7_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
77,MANANG_S6_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S6_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
