plotID,year,month,day,crop1Name,crop2Name,crop3Name,harvestOutcome,harvestReason,crop1Yield,crop2Yield,crop3Yield,terminationState,comments
MANANG_S5_P4123_R1,2023,12,5,wheat,NA,NA,success,sale,2791,NA,NA,stubble,
MANANG_S5_P4123_R2,2023,12,5,wheat,NA,NA,success,sale,2353,NA,NA,stubble,
MANANG_S5_P4123_R3,2023,12,5,wheat,NA,NA,success,sale,2713,NA,NA,stubble,
MANANG_S6_P1111_R1,2023,12,5,wheat,NA,NA,success,sale,3445,NA,NA,stubble,
MANANG_S6_P1111_R2,2023,12,5,wheat,NA,NA,success,sale,3636,NA,NA,stubble,
MANANG_S6_P1111_R3,2023,12,5,wheat,NA,NA,success,sale,2823,NA,NA,stubble,
MANANG_S6_P1111_R4,2023,12,5,wheat,NA,NA,success,sale,3628,NA,NA,stubble,
MANANG_S6_P1111_R5,2023,12,5,wheat,NA,NA,success,sale,2556,NA,NA,stubble,
MANANG_S6_P1111_R6,2023,12,5,wheat,NA,NA,success,sale,2927,NA,NA,stubble,
MANANG_S7_P2312_R1,2023,12,5,wheat,NA,NA,success,sale,2744,NA,NA,stubble,
MANANG_S7_P2312_R2,2023,12,5,wheat,NA,NA,success,sale,3181,NA,NA,stubble,
MANANG_S7_P2312_R3,2023,12,5,wheat,NA,NA,success,sale,2981,NA,NA,stubble,
MANANG_S7_P3123_R1,2023,12,5,wheat,NA,NA,success,sale,3405,NA,NA,stubble,
MANANG_S7_P3123_R2,2023,12,5,wheat,NA,NA,success,sale,2690,NA,NA,stubble,
MANANG_S7_P3123_R3,2023,12,5,wheat,NA,NA,success,sale,3019,NA,NA,stubble,
MANANG_S8.1_P1231_R1,2023,12,5,vetch,NA,NA,success,soilManagement,0,NA,NA,stubble,
MANANG_S8.1_P1231_R2,2023,12,5,vetch,NA,NA,success,soilManagement,0,NA,NA,stubble,
MANANG_S8.1_P1231_R3,2023,12,5,vetch,NA,NA,success,soilManagement,0,NA,NA,stubble,
MANANG_S8.1_P2312_R1,2023,12,5,wheat,NA,NA,success,sale,3536,NA,NA,stubble,
MANANG_S8.1_P2312_R2,2023,12,5,wheat,NA,NA,success,sale,3156,NA,NA,stubble,
MANANG_S8.1_P2312_R3,2023,12,5,wheat,NA,NA,success,sale,3238,NA,NA,stubble,
MANANG_S8.1_P3123_R1,2023,12,5,wheat,NA,NA,success,sale,3247,NA,NA,stubble,
MANANG_S8.1_P3123_R2,2023,12,5,wheat,NA,NA,success,sale,3875,NA,NA,stubble,
MANANG_S8.1_P3123_R3,2023,12,5,wheat,NA,NA,success,sale,3347,NA,NA,stubble,
MANANG_S8.2_P1231_R1,2023,12,5,vetch,NA,NA,success,soilManagement,0,NA,NA,stubble,
MANANG_S8.2_P1231_R2,2023,12,5,vetch,NA,NA,success,soilManagement,0,NA,NA,stubble,
MANANG_S8.2_P1231_R3,2023,12,5,vetch,NA,NA,success,soilManagement,0,NA,NA,stubble,
MANANG_S8.2_P2312_R1,2023,12,5,wheat,NA,NA,success,sale,2828,NA,NA,stubble,
MANANG_S8.2_P2312_R2,2023,12,5,wheat,NA,NA,success,sale,3349,NA,NA,stubble,
MANANG_S8.2_P2312_R3,2023,12,5,wheat,NA,NA,success,sale,2330,NA,NA,stubble,
MANANG_S8.2_P3123_R1,2023,12,5,wheat,NA,NA,success,sale,2874,NA,NA,stubble,
MANANG_S8.2_P3123_R2,2023,12,5,wheat,NA,NA,success,sale,3548,NA,NA,stubble,
MANANG_S8.2_P3123_R3,2023,12,5,wheat,NA,NA,success,sale,3512,NA,NA,stubble,
MANANG_S9_P1231_R1,2023,12,5,vetch,NA,NA,success,soilManagement,0,NA,NA,stubble,
MANANG_S9_P1231_R2,2023,12,5,vetch,NA,NA,success,soilManagement,0,NA,NA,stubble,
MANANG_S9_P1231_R3,2023,12,5,vetch,NA,NA,success,soilManagement,0,NA,NA,stubble,
MANANG_S9_P2312_R1,2023,12,5,wheat,NA,NA,success,sale,2843,NA,NA,stubble,
MANANG_S9_P2312_R2,2023,12,5,wheat,NA,NA,success,sale,3229,NA,NA,stubble,
MANANG_S9_P2312_R3,2023,12,5,wheat,NA,NA,success,sale,3037,NA,NA,stubble,
MANANG_S9_P3123_R1,2023,12,5,Oat,NA,NA,success,sale,0,NA,NA,stubble,
MANANG_S9_P3123_R2,2023,12,5,Oat,NA,NA,success,sale,0,NA,NA,stubble,
MANANG_S9_P3123_R3,2023,12,5,Oat,NA,NA,success,sale,0,NA,NA,stubble,
