plotID,year,month,day,name,targetPest,unitsAppliedKgOrLitres,appliedAmount,comments
HART_S7_P3412_R3,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S7_P4123_R1,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S7_P4123_R2,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S7_P4123_R3,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S8_P1234_R1,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S8_P1234_R2,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S8_P1234_R3,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S8_P2341_R1,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S8_P2341_R2,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S8_P2341_R3,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S8_P3412_R1,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S8_P3412_R2,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S8_P3412_R3,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S8_P4123_R1,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S8_P4123_R2,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S8_P4123_R3,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S9_P1234_R1,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S9_P1234_R2,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S9_P1234_R3,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S9_P2341_R1,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S9_P2341_R2,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S9_P2341_R3,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S9_P3412_R1,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S9_P3412_R2,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S9_P3412_R3,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S9_P4123_R1,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S9_P4123_R2,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S9_P4123_R3,2023,9,12,Le-mat,insects,L,0.2,0.2L/ha - Le-mat 290 SL - whole trial
HART_S1.1_P1231_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.1_P1231_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.1_P1231_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.1_P2312_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.1_P2312_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.1_P2312_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.1_P3123_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.1_P3123_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.1_P3123_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.2_P1231_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.2_P1231_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.2_P1231_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.2_P2312_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.2_P2312_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.2_P2312_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.2_P3123_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.2_P3123_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.2_P3123_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.3_P1231_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.3_P1231_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.3_P1231_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.3_P2312_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.3_P2312_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.3_P2312_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.3_P3123_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.3_P3123_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S1.3_P3123_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.1_P1231_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.1_P1231_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.1_P1231_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.1_P2312_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.1_P2312_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.1_P2312_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.1_P3123_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.1_P3123_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.1_P3123_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.2_P1231_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.2_P1231_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.2_P1231_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.2_P2312_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.2_P2312_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.2_P2312_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.2_P3123_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.2_P3123_R2,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.2_P3123_R3,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
HART_S10.3_P1231_R1,2023,9,12,Trojan,insects,L,0.03,0.03L/ha -  Trojan (Gamma-cyhalothrin 150g/L) - whole trial
