,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_revenue_dollars,plot_gross_margin_dollars,,Zeros,NAS
103,manang,MANANG_S7_P2312_R1,2023,1,191,434.32,905.52,280.2,,0,0
104,manang,MANANG_S7_P2312_R1,2024,2,230,372.2434522,396,-206.2434522,,0,0
105,manang,MANANG_S10.1_P1231_R2,2023,1,202,448.4972,0,-650.4972,,0,0
106,manang,MANANG_S10.1_P1231_R2,2024,2,230,393.2400664,594,-29.2400664,,0,0
107,manang,MANANG_S7_P2312_R3,2023,1,202,434.32,983.73,347.41,,0,0
108,manang,MANANG_S7_P2312_R3,2024,2,230,372.2434522,693,90.7565478,,0,0
109,manang,MANANG_S1.2_P1231_R1,2023,1,215.5,518.5972,498.55,-235.5472,,0,0
110,manang,MANANG_S1.2_P1231_R1,2024,2,230,380.6001286,561,-49.6001286,,0,0
111,manang,MANANG_S12_P0000_R3,2023,1,182.5,412.1,711.568,116.968,,0,0
112,manang,MANANG_S12_P0000_R3,2024,2,221.5,335.561904,726,168.938096,,0,0
113,manang,MANANG_S7_P1231_R1,2023,1,274,746.7126587,627,-393.7126587,,0,0
114,manang,MANANG_S8.1_P1231_R2,2023,1,204.5,524.5,0,-729,,0,0
115,manang,MANANG_S8.1_P1231_R2,2024,2,221.5,407.6677994,495,-134.1677994,,0,0
116,manang,MANANG_S5_P3412_R1,2023,1,191,434.32,834.24,208.92,,0,0
117,manang,MANANG_S5_P3412_R1,2024,2,230,386.0716228,231,-385.0716228,,0,0
118,manang,MANANG_S10.2_P3123_R1,2023,1,202,434.32,1219.02,582.7,,0,0
119,manang,MANANG_S10.2_P3123_R1,2024,2,219,354.1849807,264,-309.1849807,,0,0
120,manang,MANANG_S9_P2312_R1,2023,1,202,434.32,938.19,301.87,,0,0
121,manang,MANANG_S9_P2312_R1,2024,2,210.5,434.5688568,1213.8,568.7311432,,0,0
122,manang,MANANG_S5_P1234_R3,2023,1,204.5,501.3472,616.2,-89.6472,,0,0
123,manang,MANANG_S5_P1234_R3,2024,2,230,397.1617173,759,131.8382827,,0,0
124,manang,MANANG_S3_P1231_R2,2023,1,215.5,501.3472,575.25,-141.5972,,0,0
125,manang,MANANG_S3_P1231_R2,2024,2,193.5,189.3017,260,-122.8017,,0,0
126,manang,MANANG_S12_P0000_R9,2023,1,193.5,412.1,896.302,290.702,,0,0
127,manang,MANANG_S1.1_P3123_R3,2023,1,213,458.82,839.85,168.03,,0,0
