,site,plot,year,annual_plot_operational_costs_dollars,annual_plot_material_input_costs_dollars,annual_plot_revenue_dollars,annual_plot_gross_margin_dollars
166,hart,HART_S1.1_P3123_R2,2023,202.0,235.75835,1091.8719999999998,654.1136499999998
167,hart,HART_S4.3_P1234_R2,2023,204.5,222.5193,1151.15,724.1307000000002
168,roseworthy,ROSEWORTHY_S8_P0121_R2,2024,182.5,394.53,507.71267989,-69.31732010999997
169,roseworthy,ROSEWORTHY_S1.2_P2312_R3,2024,191.0,205.93599999999998,150.737358476,-246.19864152399998
170,roseworthy,ROSEWORTHY_S1.2_P2312_R3,2023,268.0,676.1894,1238.8200000000002,294.6306000000002
171,roseworthy,ROSEWORTHY_S1.2_BUFFER_R2,2024,22.0,90.75,0.0,-112.75
172,roseworthy,ROSEWORTHY_S8_BUFFER_R3,2024,22.0,60.5,0.0,-82.5
173,roseworthy,ROSEWORTHY_S3_P1212_R1,2024,182.5,165.93599999999998,791.0682354300001,442.6322354300001
174,roseworthy,ROSEWORTHY_S3_P1212_R1,2023,259.5,660.9044,0.0,-920.4044
175,roseworthy,ROSEWORTHY_S8_P0121_R1,2024,182.5,394.53,532.453507235,-44.57649276500001
176,roseworthy,ROSEWORTHY_S7_BUFFER_R1,2024,22.0,30.25,0.0,-52.25
177,roseworthy,ROSEWORTHY_S2_BUFFER_R3,2024,22.0,60.5,0.0,-82.5
178,roseworthy,ROSEWORTHY_S1.2_BUFFER_R3,2024,22.0,90.75,0.0,-112.75
179,roseworthy,ROSEWORTHY_S4_P1231_R1,2024,171.5,355.23,504.36128212,-22.36871788000002
180,roseworthy,ROSEWORTHY_S4_P1231_R1,2023,292.5,663.2794,1245.4720000000002,289.6926000000002
181,roseworthy,ROSEWORTHY_S4_P2312_R3,2024,171.5,148.98,437.6179096296,117.13790962959999
182,roseworthy,ROSEWORTHY_S4_P2312_R3,2023,270.5,900.4513999999999,1490.72,319.7686000000001
183,roseworthy,ROSEWORTHY_S5_BUFFER_R3,2024,22.0,30.25,0.0,-52.25
184,roseworthy,ROSEWORTHY_S8_P0212_R3,2024,180.0,231.98,376.0695445032,-35.91045549679998
185,roseworthy,ROSEWORTHY_S1.1_BUFFER_R2,2024,22.0,90.75,0.0,-112.75
186,roseworthy,ROSEWORTHY_S2_BUFFER_R1,2024,22.0,60.5,0.0,-82.5
187,roseworthy,ROSEWORTHY_S8_BUFFER_R1,2024,22.0,60.5,0.0,-82.5
188,roseworthy,ROSEWORTHY_S3_P2121_R3,2024,182.5,214.45499999999998,0.0,-396.955
189,roseworthy,ROSEWORTHY_S3_P2121_R3,2023,279.0,676.1894,971.56,16.370599999999968
190,roseworthy,ROSEWORTHY_S6_P0000_R2,2024,191.0,174.45600000000002,3.22340779464,-362.23259220536
191,roseworthy,ROSEWORTHY_S6_P0000_R2,2023,268.0,676.1894,1750.98,806.7906
192,roseworthy,ROSEWORTHY_S1.1_P2312_R3,2024,191.0,215.93599999999998,184.0602479028,-222.87575209719998
193,roseworthy,ROSEWORTHY_S1.1_P2312_R3,2023,279.0,676.1894,1537.47,582.2806
194,roseworthy,ROSEWORTHY_S1.1_P3123_R1,2024,182.5,394.53,697.5038967,120.47389670000007
195,roseworthy,ROSEWORTHY_S1.1_P3123_R1,2023,268.0,676.1894,1567.48,623.2906
196,roseworthy,ROSEWORTHY_S4_P2312_R1,2024,171.5,148.98,321.97640761519995,1.4964076151999564
197,roseworthy,ROSEWORTHY_S4_P2312_R1,2023,270.5,900.4514,1398.38,227.42860000000007
198,roseworthy,ROSEWORTHY_S8_P0121_R3,2024,182.5,394.53,654.2440268,77.21402680000006
199,roseworthy,ROSEWORTHY_S4_P3123_R3,2024,182.5,183.18,478.10048451901,112.42048451901002
200,roseworthy,ROSEWORTHY_S4_P3123_R3,2023,259.5,642.6094,1381.474,479.3645999999999
201,roseworthy,ROSEWORTHY_S3_BUFFER_R1,2024,22.0,60.5,0.0,-82.5
202,roseworthy,ROSEWORTHY_S1.1_P1231_R3,2024,191.0,215.93599999999998,657.11996328,250.18396328
203,roseworthy,ROSEWORTHY_S1.1_P1231_R3,2023,281.5,870.8794,1169.35,16.970599999999877
204,roseworthy,ROSEWORTHY_S3_BUFFER_R2,2024,22.0,60.5,0.0,-82.5
205,roseworthy,ROSEWORTHY_S5_BUFFER_R1,2024,22.0,30.25,0.0,-52.25
206,roseworthy,ROSEWORTHY_S5_P0000_R3,2024,182.5,165.93599999999998,568.020849,219.58484900000002
207,roseworthy,ROSEWORTHY_S5_P0000_R3,2023,274.0,779.1294,987.114,-66.0154
208,roseworthy,ROSEWORTHY_S2_P2121_R2,2024,182.5,394.53,667.64959495,90.61959495000008
209,roseworthy,ROSEWORTHY_S2_P2121_R2,2023,290.0,676.1894,1550.216,584.0265999999999
210,roseworthy,ROSEWORTHY_S3_P1212_R2,2024,182.5,165.93599999999998,697.1455355700001,348.7095355700001
211,roseworthy,ROSEWORTHY_S3_P1212_R2,2023,270.5,660.9044,0.0,-931.4044
212,roseworthy,ROSEWORTHY_S1.2_P1231_R2,2024,191.0,205.93599999999998,701.94667785,305.01067785000004
213,roseworthy,ROSEWORTHY_S1.2_P1231_R2,2023,292.5,870.8794,988.65,-174.72940000000006
214,roseworthy,ROSEWORTHY_S1.2_P3123_R3,2024,182.5,394.53,479.82113296,-97.20886703999997
215,roseworthy,ROSEWORTHY_S1.2_P3123_R3,2023,290.0,676.1894,1564.5,598.3106
216,roseworthy,ROSEWORTHY_S2_P1212_R1,2024,191.0,205.93599999999998,1189.61266281,792.6766628100002
217,roseworthy,ROSEWORTHY_S2_P1212_R1,2023,292.5,870.8794,1319.5,156.12059999999997
218,roseworthy,ROSEWORTHY_S8_P0212_R1,2024,180.0,231.98,174.92661064599997,-237.05338935400002
219,roseworthy,ROSEWORTHY_S4_P3123_R1,2024,182.5,183.18,718.0601690022,352.38016900220003
220,roseworthy,ROSEWORTHY_S4_P3123_R1,2023,270.5,642.6094,1395.464,482.3545999999999
221,roseworthy,ROSEWORTHY_S7_P0000_R1,2024,182.5,10264.086,657.892393906,-9788.693606093999
222,roseworthy,ROSEWORTHY_S7_P0000_R1,2023,268.0,6892.229399999999,1407.264,-5752.965399999999
223,roseworthy,ROSEWORTHY_S7_P0000_R3,2024,182.5,10264.086,185.107488264,-10261.478511735999
224,roseworthy,ROSEWORTHY_S7_P0000_R3,2023,268.0,6892.229399999999,1796.316,-5363.9133999999995
225,roseworthy,ROSEWORTHY_S1.2_P2312_R1,2024,191.0,205.93599999999998,646.08012478,249.14412478000003
226,roseworthy,ROSEWORTHY_S1.2_P2312_R1,2023,268.0,676.1894,1844.7,900.5106000000001
227,roseworthy,ROSEWORTHY_S1.2_BUFFER_R1,2024,22.0,90.75,0.0,-112.75
228,roseworthy,ROSEWORTHY_S4_P1231_R3,2024,171.5,355.23,574.5299537295,47.799953729499975
229,roseworthy,ROSEWORTHY_S4_P1231_R3,2023,281.5,663.2794,1240.061,295.2815999999999
230,roseworthy,ROSEWORTHY_S5_P0000_R2,2024,182.5,165.93599999999998,500.09997939,151.66397939
231,roseworthy,ROSEWORTHY_S5_P0000_R2,2023,274.0,779.1294,1300.602,247.47260000000006
232,roseworthy,ROSEWORTHY_S1.2_P1231_R1,2024,191.0,205.93599999999998,829.874001,432.93800100000004
233,roseworthy,ROSEWORTHY_S1.2_P1231_R1,2023,281.5,870.8794,1053.65,-98.72939999999994
234,roseworthy,ROSEWORTHY_S7_BUFFER_R2,2024,22.0,30.25,0.0,-52.25
235,roseworthy,ROSEWORTHY_S3_P2121_R1,2024,182.5,214.45499999999998,0.0,-396.955
236,roseworthy,ROSEWORTHY_S3_P2121_R1,2023,279.0,676.1894,1574.184,618.9946
237,roseworthy,ROSEWORTHY_S3_P2121_R2,2024,182.5,214.45499999999998,0.0,-396.955
238,roseworthy,ROSEWORTHY_S3_P2121_R2,2023,279.0,676.1894,1771.492,816.3026
