,site,plot,year,annual_plot_operational_costs_dollars,annual_plot_material_input_costs_dollars,annual_plot_revenue_dollars,annual_plot_gross_margin_dollars
98,hart,HART_S6_P3412_R3,2023,202.0,246.75834999999998,852.72,403.9616500000001
99,hart,HART_S2.2_P0000_R2,2024,213.0,220.41727117500002,502.726,69.30872882499997
100,hart,HART_S2.2_P0000_R2,2023,202.0,264.25834999999995,950.73,484.47165000000007
101,hart,HART_S1.1_BUFFER_R2,2024,11.0,114.0,0.0,-125.0
102,hart,HART_S1.3_P1231_R3,2024,213.0,281.052,529.65,35.597999999999956
103,hart,HART_S1.3_P1231_R3,2023,204.5,222.5193,810.5500000000001,383.5307000000001
104,hart,HART_S2.3_BUFFER_R1,2024,11.0,38.0,0.0,-49.0
105,hart,HART_S2.1_P0000_R3,2024,213.0,221.213910535,481.3296,47.11568946500003
106,hart,HART_S2.1_P0000_R3,2023,202.0,238.25834999999998,1432.2,991.9416500000001
107,hart,HART_S7_P1234_R1,2024,204.5,267.7944,260.678,-211.6164
108,hart,HART_S7_P1234_R1,2023,204.5,222.5193,1196.0,768.9807000000001
109,hart,HART_S9_P3412_R3,2024,213.0,258.68351425000003,323.032,-148.65151425000005
110,hart,HART_S9_P3412_R3,2023,202.0,246.75835,1008.15,559.39165
111,hart,HART_S1.3_BUFFER_R3,2024,11.0,114.0,0.0,-125.0
112,hart,HART_S4.2_P4123_R2,2024,204.5,280.3244,466.7,-18.124400000000037
113,hart,HART_S4.2_P4123_R2,2023,202.0,235.75835,1035.55,597.7916499999999
114,hart,HART_S1.2_P2312_R1,2024,213.0,218.720449485,78.076,-353.644449485
115,hart,HART_S1.2_P2312_R1,2023,202.0,246.75835,1072.5,623.7416499999999
116,hart,HART_S4.1_P3412_R2,2024,213.0,242.75806106500002,110.856,-344.902061065
117,hart,HART_S4.1_P3412_R2,2023,213.0,215.0018,334.014,-93.9878
118,hart,HART_S4.1_P1234_R3,2024,213.0,252.75948176,728.97,263.21051824000006
119,hart,HART_S4.1_P1234_R3,2023,204.5,222.5193,1137.5,710.4807000000001
120,hart,HART_S10.3_P1231_R3,2024,213.0,270.17947586,367.9500000000001,-115.22947585999992
121,hart,HART_S10.3_P1231_R3,2023,204.5,227.7693,938.976,506.7067
122,hart,HART_S8_P2341_R2,2024,213.0,236.84890383,216.05,-233.79890383
123,hart,HART_S8_P2341_R2,2023,202.0,246.75835,851.07,402.31165000000004
124,hart,HART_S10.2_P1231_R3,2024,213.0,288.74418625,269.94,-231.80418625
125,hart,HART_S10.2_P1231_R3,2023,204.5,227.7693,836.6500000000001,404.3807000000001
126,hart,HART_S8_P3412_R2,2024,213.0,294.61117314999996,475.2000000000001,-32.411173149999854
127,hart,HART_S8_P3412_R2,2023,202.0,235.75834999999998,1116.308,678.54965
128,hart,HART_S2.2_BUFFER_R3,2024,11.0,38.0,0.0,-49.0
129,hart,HART_S5_P0000_R3,2024,204.5,276.44440000000003,0.0,-480.94440000000003
130,hart,HART_S5_P0000_R3,2023,204.5,222.5193,984.75,557.7307000000001
131,hart,HART_S2.3_P0000_R1,2024,213.0,220.76499213000002,121.7926,-311.97239213
132,hart,HART_S2.3_P0000_R1,2023,202.0,285.75835,1461.24,973.48165
133,hart,HART_S3_P3412_R3,2024,213.0,193.85440000000003,576.928,170.07359999999997
134,hart,HART_S3_P3412_R3,2023,204.5,222.5193,881.4,454.3807
135,hart,HART_S4.2_P4123_R1,2024,204.5,280.32439999999997,489.45,4.62560000000002
136,hart,HART_S4.2_P4123_R1,2023,202.0,235.75835,1000.386,562.6276499999999
137,hart,HART_S10.3_BUFFER_R3,2024,11.0,114.0,0.0,-125.0
138,hart,HART_S2.1_BUFFER_R3,2024,11.0,38.0,0.0,-49.0
139,hart,HART_S7_BUFFER_R2,2024,11.0,152.0,0.0,-163.0
140,hart,HART_S10.2_P2312_R1,2024,213.0,219.97245029500002,63.474,-369.498450295
141,hart,HART_S10.2_P2312_R1,2023,202.0,218.75835,1246.41,825.65165
142,hart,HART_S4.3_P3412_R2,2024,213.0,243.27791397000001,79.566,-376.71191397
143,hart,HART_S4.3_P3412_R2,2023,213.0,249.50179999999997,416.74,-45.761799999999965
144,hart,HART_S7_BUFFER_R3,2024,11.0,152.0,0.0,-163.0
145,hart,HART_S5_P0000_R4,2024,204.5,276.4444,0.0,-480.9444
146,hart,HART_S5_P0000_R4,2023,204.5,222.5193,951.6,524.5807
147,hart,HART_S6_P1234_R2,2024,221.5,273.516,3.11,-491.906
148,hart,HART_S6_P1234_R2,2023,204.5,222.5193,877.5,450.4807
149,hart,HART_S1.1_P2312_R2,2024,213.0,243.85439999999997,373.096,-83.75839999999997
150,hart,HART_S1.1_P2312_R2,2023,202.0,246.75835,984.72,535.96165
151,hart,HART_S1.3_P3123_R1,2024,204.5,280.3244,438.75,-46.074400000000026
152,hart,HART_S1.3_P3123_R1,2023,202.0,258.75835,1085.912,625.15365
153,hart,HART_S7_P1234_R2,2024,204.5,267.7944,348.623,-123.6714
154,hart,HART_S7_P1234_R2,2023,204.5,222.5193,937.95,510.93070000000006
155,hart,HART_S4.1_P3412_R1,2024,213.0,242.75806106500002,4.172,-451.586061065
156,hart,HART_S4.1_P3412_R1,2023,213.0,215.0018,652.478,224.47619999999995
157,hart,HART_S1.1_BUFFER_R3,2024,11.0,114.0,0.0,-125.0
158,hart,HART_S2.1_P0000_R1,2024,213.0,221.213910535,62.8482,-371.365710535
159,hart,HART_S2.1_P0000_R1,2023,202.0,238.25835,1337.16,896.90165
160,hart,HART_S1.2_P3123_R3,2024,204.5,280.32439999999997,525.2,40.37560000000008
