plotID,year,month,day,crop1Name,crop2Name,crop3Name,crop1Variety,crop2Variety,crop3Variety,seedTreatment1Bool,seedTreatment2Bool,seedTreatment3Bool,sowingReason,crop1SowingDensity,crop2SowingDensity,crop3SowingDensity,crop1SowingDepth,crop2SowingDepth,crop3SowingDepth,sowingTimelinessDescription,comments
MANANG_S2_P2121_R2,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S2_P2121_R3,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S3_P1231_R1,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S3_P1231_R2,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S3_P1231_R3,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S3_P2312_R1,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S3_P2312_R2,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S3_P2312_R3,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S3_P3123_R1,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S3_P3123_R2,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S3_P3123_R3,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S4_P1234_R1,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S4_P1234_R2,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S4_P1234_R3,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S4_P2341_R1,2023,4,29,canola,NA,NA,44y94 cl,NA,NA,TRUE,NA,NA,sale,40,NA,NA,15,NA,NA,On-time,
MANANG_S4_P2341_R2,2023,4,29,canola,NA,NA,44y94 cl,NA,NA,TRUE,NA,NA,sale,40,NA,NA,15,NA,NA,On-time,
MANANG_S4_P2341_R3,2023,4,29,canola,NA,NA,44y94 cl,NA,NA,TRUE,NA,NA,sale,40,NA,NA,15,NA,NA,On-time,
MANANG_S4_P3412_R1,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S4_P3412_R2,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S4_P3412_R3,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S4_P4123_R1,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S4_P4123_R2,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S4_P4123_R3,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S5_P1234_R1,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S5_P1234_R2,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S5_P1234_R3,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S5_P2341_R1,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S5_P2341_R2,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S5_P2341_R3,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S5_P3412_R1,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S5_P3412_R2,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S5_P3412_R3,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S5_P4123_R1,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S5_P4123_R2,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S5_P4123_R3,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S6_P1111_R1,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
