,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_yield_kilograms_per_hectare,plot_main_crop,plot_revenue_dollars,plot_gross_margin_dollars
927,streatham,STREATHAM_S6.1_P2312_R1,2023,1,307.0,1275.4,TBD,TBD,2690.772,1108.3719999999998
928,streatham,STREATHAM_S6.1_P2312_R1,2024,2,215.5,926.8369873188406,TBD,TBD,667.59259248,-474.74439483884055
929,streatham,STREATHAM_S3_P4123_R3,2023,1,296.0,1399.8675999999998,TBD,TBD,2186.9100000000003,491.0424000000005
930,streatham,STREATHAM_S3_P4123_R3,2024,2,240.0,836.633,TBD,TBD,2251.51209684,1174.87909684
931,streatham,STREATHAM_S6.2_P2312_R3,2023,1,298.5,1200.4,TBD,TBD,2281.496,782.596
932,streatham,STREATHAM_S6.2_P2312_R3,2024,2,215.5,889.1400597826088,TBD,TBD,902.8057797,-201.83428008260876
933,streatham,STREATHAM_S1.1_P1212_R3,2023,1,307.0,1225.4,TBD,TBD,2267.19,734.79
934,streatham,STREATHAM_S1.1_P1212_R3,2024,2,248.5,1075.0870130434782,TBD,TBD,1055.27553747,-268.3114755734782
935,streatham,STREATHAM_S6.1_P1231_R3,2023,1,226.5,961.9,TBD,TBD,0.0,-1188.4
936,streatham,STREATHAM_S6.1_P1231_R3,2024,2,226.5,925.4431177536233,TBD,TBD,1419.494847454,267.55172970037665
937,streatham,STREATHAM_S2.2_P3412_R3,2023,1,296.0,1399.8675999999998,TBD,TBD,1592.25,-103.61759999999981
938,streatham,STREATHAM_S2.2_P3412_R3,2024,2,259.5,1105.4593119565218,TBD,TBD,856.6028225700001,-508.35648938652173
939,streatham,STREATHAM_S12_P0000_R3,2023,1,296.0,1399.8675999999998,TBD,TBD,1365.54,-330.32759999999985
940,streatham,STREATHAM_S2.1_P2341_R2,2023,1,307.0,1225.4,TBD,TBD,2576.324,1043.924
941,streatham,STREATHAM_S2.1_P2341_R2,2024,2,259.5,1077.0797666666667,TBD,TBD,996.29629638,-340.2834702866668
942,streatham,STREATHAM_S2.1_P3412_R3,2023,1,296.0,1352.3675999999998,TBD,TBD,1609.41,-38.95759999999973
943,streatham,STREATHAM_S2.1_P3412_R3,2024,2,259.5,1084.7268101449276,TBD,TBD,1202.20094082,-142.02586932492773
944,streatham,STREATHAM_S9.2_P1212_R1,2023,1,276.5,1123.9499999999998,TBD,TBD,0.0,-1400.4499999999998
945,streatham,STREATHAM_S9.2_P1212_R1,2024,2,215.5,877.973509057971,TBD,TBD,798.14814816,-295.325360897971
946,streatham,STREATHAM_S7_P1234_R1,2023,1,226.5,961.9,TBD,TBD,0.0,-1188.4
947,streatham,STREATHAM_S7_P1234_R1,2024,2,185.0,611.0,TBD,TBD,0.0,-796.0
948,streatham,STREATHAM_S2.4_P4123_R3,2023,1,296.0,1442.3675999999998,TBD,TBD,1861.53,123.16240000000016
949,streatham,STREATHAM_S2.4_P4123_R3,2024,2,240.0,836.633,TBD,TBD,1832.66129016,756.0282901599999
950,streatham,STREATHAM_S13_P0000_R8,2023,1,226.5,961.9,TBD,TBD,0.0,-1188.4
951,streatham,STREATHAM_S2.1_P4123_R1,2023,1,296.0,1352.3675999999998,TBD,TBD,1856.25,207.8824000000002
952,streatham,STREATHAM_S2.1_P4123_R1,2024,2,240.0,836.633,TBD,TBD,0.0,-1076.633
953,streatham,STREATHAM_S3_P3412_R3,2023,1,307.0,1275.4,TBD,TBD,2440.106,857.7060000000001
954,streatham,STREATHAM_S3_P3412_R3,2024,2,215.5,859.9486974637681,TBD,TBD,1022.00940864,-53.43928882376815
955,streatham,STREATHAM_S2.3_P2341_R1,2023,1,279.0,1185.3999999999999,TBD,TBD,2713.786,1249.3860000000002
956,streatham,STREATHAM_S2.3_P2341_R1,2024,2,248.5,1078.3927757246377,TBD,TBD,1025.92592586,-300.96684986463765
957,streatham,STREATHAM_S2.1_P3412_R1,2023,1,296.0,1352.3675999999998,TBD,TBD,1795.2,146.83240000000023
958,streatham,STREATHAM_S2.1_P3412_R1,2024,2,259.5,1084.7268101449276,TBD,TBD,905.55555552,-438.67125462492766
959,streatham,STREATHAM_S2.2_P3412_R2,2023,1,296.0,1399.8675999999998,TBD,TBD,1839.09,143.2224000000001
960,streatham,STREATHAM_S2.2_P3412_R2,2024,2,259.5,1105.4593119565218,TBD,TBD,963.88888893,-401.0704230265218
961,streatham,STREATHAM_S6.2_P3123_R2,2023,1,296.0,1399.8675999999998,TBD,TBD,1982.97,287.1024000000002
962,streatham,STREATHAM_S6.2_P3123_R2,2024,2,218.0,646.475,TBD,TBD,0.0,-864.475
963,streatham,STREATHAM_S2.2_P4123_R2,2023,1,296.0,1399.8675999999998,TBD,TBD,1818.96,123.09240000000023
